radio_id,hogares_con_nbi,hogares_sin_nbi,hogares_nbi_hac,hogares_nbi_viv,hogares_nbi_san,hogares_nbi_esc,hogares_nbi_sub,hogares_totales,prop_con_nbi
63572602,11,331,5,4,0,4,0,342,0.03216374269005848
63572603,4,392,3,1,0,0,0,396,0.010101010101010102
63572604,7,267,5,2,0,0,0,274,0.025547445255474453
63572701,1,178,0,1,0,0,0,179,0.00558659217877095
63572702,3,189,1,1,0,1,0,192,0.015625
63572703,5,253,3,2,0,0,1,258,0.01937984496124031
63572704,4,184,2,1,0,1,0,188,0.02127659574468085
63572705,9,276,1,4,0,4,0,285,0.031578947368421054
63572801,4,289,3,1,1,0,0,293,0.013651877133105802
63572802,2,212,0,0,0,1,1,214,0.009345794392523364
63572803,0,182,0,0,0,0,0,182,0.0
63572804,1,137,1,1,0,0,0,138,0.007246376811594203
63572805,0,244,0,0,0,0,0,244,0.0
63572806,1,192,0,1,0,0,0,193,0.0051813471502590676
63572901,0,222,0,0,0,0,0,222,0.0
63572902,3,140,1,0,0,2,0,143,0.02097902097902098
63572903,6,157,4,1,0,1,0,163,0.03680981595092025
63572904,10,217,4,1,3,2,0,227,0.04405286343612335
63572905,3,97,0,2,0,1,0,100,0.03
63572906,4,276,1,1,0,2,0,280,0.014285714285714285
63573001,2,172,1,1,0,0,0,174,0.011494252873563218
63573002,4,233,2,2,0,0,0,237,0.016877637130801686
63573003,1,109,1,0,0,0,0,110,0.00909090909090909
63573004,4,221,3,1,0,0,0,225,0.017777777777777778
63573005,0,235,0,0,0,0,0,235,0.0
63573006,0,270,0,0,0,0,0,270,0.0
63573007,1,146,0,1,0,0,0,147,0.006802721088435374
63573008,0,129,0,0,0,0,0,129,0.0
63573009,0,219,0,0,0,0,0,219,0.0
63573010,4,187,2,1,0,1,0,191,0.020942408376963352
63573011,5,257,5,0,0,0,0,262,0.019083969465648856
63573101,3,280,1,2,0,0,0,283,0.01060070671378092
63573102,0,273,0,0,0,0,0,273,0.0
63573103,2,205,1,1,0,0,0,207,0.00966183574879227
63573104,0,157,0,0,0,0,0,157,0.0
63573105,0,263,0,0,0,0,0,263,0.0
63573106,6,212,1,5,0,0,0,218,0.027522935779816515
63573107,2,367,1,1,0,0,0,369,0.005420054200542005
63573108,0,67,0,0,0,0,0,67,0.0
63573109,28,305,11,16,4,1,0,333,0.08408408408408409
63573110,3,302,3,0,0,0,0,305,0.009836065573770493
63573201,4,277,2,2,0,0,0,281,0.014234875444839857
63573202,3,283,1,0,0,1,2,286,0.01048951048951049
63573203,3,334,1,1,0,1,0,337,0.008902077151335312
63573204,2,185,0,1,0,1,0,187,0.0106951871657754
63573205,0,151,0,0,0,0,0,151,0.0
63573206,3,229,0,3,0,0,0,232,0.01293103448275862
63573207,0,199,0,0,0,0,0,199,0.0
63573208,5,141,0,2,0,3,0,146,0.03424657534246575
63573209,1,310,0,0,0,1,0,311,0.003215434083601286
63573210,6,316,1,5,0,0,1,322,0.018633540372670808
63573211,1,157,0,1,0,0,0,158,0.006329113924050633
63573212,3,95,1,2,0,0,0,98,0.030612244897959183
63573301,2,305,0,2,0,0,0,307,0.006514657980456026
63573302,2,207,0,1,0,1,0,209,0.009569377990430622
63573303,1,337,0,1,0,0,0,338,0.0029585798816568047
