"radio_id","hogares_nbi_hac","hogares_nbi_viv","hogares_nbi_san","hogares_nbi_esc","hogares_nbi_sub"
63576707,12,8,0,1,3
63576708,5,4,0,4,1
63576709,10,6,6,2,2
63576710,12,4,0,1,5
63576711,8,9,0,4,1
63576712,14,5,2,4,2
63576713,13,2,0,2,3
63576714,9,2,2,3,2
63576715,29,6,3,10,6
63576801,4,7,0,0,2
63576802,11,11,0,5,1
63576803,7,4,1,1,1
63576804,3,3,0,2,0
63576805,2,8,1,2,0
63576806,3,2,0,1,0
63576807,8,2,0,4,3
63576808,6,8,0,2,4
63576809,7,0,1,5,2
63576810,3,11,0,1,3
63576901,2,5,0,1,1
63576902,7,4,0,1,1
63576903,6,3,1,2,0
63576904,4,4,1,2,0
63576905,7,2,1,3,2
63576906,8,2,1,0,1
63576907,13,9,3,0,1
63576908,7,3,3,0,3
63576909,14,2,1,1,0
63576910,17,4,1,1,0
63576911,5,2,1,1,0
63577001,11,13,1,1,1
63577002,9,4,0,0,1
63577003,1,2,0,0,1
63577004,2,1,0,0,0
63577005,3,3,0,1,0
63577006,5,2,0,0,0
63577007,5,5,1,1,2
63577008,3,3,1,0,1
63577009,2,3,0,0,0
63577010,7,1,0,0,0
63577011,6,3,0,1,1
63577012,6,1,0,2,0
63577013,11,2,0,3,2
63577014,7,4,3,0,1
63577015,2,2,0,1,1
63577016,1,1,0,1,0
63577101,21,17,5,2,3
63577102,1,5,0,0,1
63577103,2,2,1,0,1
63577104,3,2,0,1,0
63577105,3,0,0,0,0
63577106,19,10,1,2,3
63577107,4,4,1,0,1
63577108,0,3,0,0,1
63577109,0,1,0,1,0
63577110,9,7,1,2,2
63577111,8,11,0,8,2
63577112,16,5,0,1,3
63577113,3,0,0,1,1
63577114,0,1,0,3,0
63577201,20,14,0,9,4
63577202,21,20,9,0,3
63577203,15,4,5,6,2
63577204,18,9,3,10,5
63577205,9,8,0,4,0
63577206,12,13,7,4,3
63577207,7,5,0,2,4
63577208,3,3,0,0,0
63577209,12,18,9,4,1
63577210,3,6,1,0,0
63577211,7,4,0,1,3
63577212,4,4,0,1,3
63577213,8,4,1,0,2
63577301,15,15,7,1,2
63577302,3,6,1,4,0
63577303,1,1,0,0,0
63577304,5,14,3,3,2
63577305,16,10,2,1,6
63577306,1,2,9,1,0
63577307,1,0,0,1,1
63577308,1,6,0,2,0
63577309,5,13,3,1,1
63577310,10,5,0,3,1
63577311,14,5,12,3,3
63577401,17,14,3,3,1
